country/region,year,month,avg_confirmed,avg_recovered,avg_deaths,benua,jenis_seasons,season
Angola,2020,9,3715.633333333333,1396.6333333333334,142.26666666666668,Africa,Tropical/Subtropical,Wet Season
Angola,2020,10,7527.387096774193,3037.935483870968,236.29032258064515,Africa,Tropical/Subtropical,Wet Season
Angola,2020,11,13480.566666666668,6536.4,321.2,Africa,Tropical/Subtropical,Dry Season
Angola,2020,12,16387.677419354837,9250.032258064517,376.96774193548384,Africa,Tropical/Subtropical,Dry Season
Angola,2021,1,18719.0,15270.967741935483,434.8709677419355,Africa,Tropical/Subtropical,Dry Season
Angola,2021,2,20339.571428571428,18825.214285714286,489.17857142857144,Africa,Tropical/Subtropical,Dry Season
Angola,2021,3,21493.387096774193,19938.74193548387,522.3548387096774,Africa,Tropical/Subtropical,Dry Season
Angola,2021,4,24202.366666666665,22286.866666666665,561.7,Africa,Tropical/Subtropical,Dry Season
Angola,2021,5,30587.322580645163,25887.09677419355,676.741935483871,Africa,Tropical/Subtropical,Wet Season
Angola,2021,6,36991.333333333336,30806.766666666666,840.3,Africa,Tropical/Subtropical,Wet Season
Angola,2021,7,40676.3870967742,34773.645161290326,954.5806451612904,Africa,Tropical/Subtropical,Wet Season
Angola,2021,8,44987.06451612903,4991.225806451613,1108.483870967742,Africa,Tropical/Subtropical,Wet Season
Angola,2021,9,51748.666666666664,0.0,1376.8666666666666,Africa,Tropical/Subtropical,Wet Season
Angola,2021,10,62237.48387096774,0.0,1652.6451612903227,Africa,Tropical/Subtropical,Wet Season
Angola,2021,11,64889.96666666667,0.0,1726.0333333333333,Africa,Tropical/Subtropical,Dry Season
Angola,2021,12,68159.58064516129,0.0,1741.5806451612902,Africa,Tropical/Subtropical,Dry Season
Angola,2022,1,92628.41935483871,0.0,1850.483870967742,Africa,Tropical/Subtropical,Dry Season
Angola,2022,2,98528.92857142857,0.0,1897.7857142857142,Africa,Tropical/Subtropical,Dry Season
Angola,2022,3,98956.32258064517,0.0,1900.0,Africa,Tropical/Subtropical,Dry Season
Angola,2022,4,99194.0,0.0,1900.0,Africa,Tropical/Subtropical,Dry Season
Antarctica,2020,1,0.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2020,2,0.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2020,3,0.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2020,4,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2020,5,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2020,6,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2020,7,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2020,8,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2020,9,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2020,10,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2020,11,0.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2020,12,0.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2021,1,0.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2021,2,0.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2021,3,0.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2021,4,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2021,5,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2021,6,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2021,7,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2021,8,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2021,9,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2021,10,0.0,0.0,0.0,Antarctica,Polar,Summer
Antarctica,2021,11,0.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2021,12,6.387096774193548,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2022,1,11.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2022,2,11.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2022,3,11.0,0.0,0.0,Antarctica,Polar,Winter
Antarctica,2022,4,11.0,0.0,0.0,Antarctica,Polar,Summer
Antigua and Barbuda,2020,1,0.0,0.0,0.0,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2020,2,0.0,0.0,0.0,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2020,3,1.967741935483871,0.0,0.0,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2020,4,20.566666666666666,4.166666666666667,2.066666666666667,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2020,5,25.032258064516128,18.096774193548388,3.0,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2020,6,34.2,20.966666666666665,3.0,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2020,7,76.3225806451613,50.03225806451613,3.0,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2020,8,92.93548387096774,82.51612903225806,3.0,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2020,9,96.2,91.43333333333334,3.0,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2020,10,115.6774193548387,102.03225806451613,3.0,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2020,11,134.9,124.83333333333333,3.566666666666667,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2020,12,150.19354838709677,140.09677419354838,4.612903225806452,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2021,1,185.7741935483871,158.25806451612902,5.645161290322581,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2021,2,462.75,212.25,9.964285714285714,North America,Tropical/Subtropical,Dry Season
